brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,price_numeric
Skin,SKIN1004 Madagascar Centella Hyalu-Cica Blue Serum,82939,140,Rp 237.000 - Rp 714.000,"""50ml"": 714000; ""30 ml"": 237000",https://www.sociolla.com/face-serum/54597-madagascar-hyalu-cica-blue-serum,2022-06-23T03:47:05.140Z,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.637731481481481,256,"""star_effectiveness"": 4.6157407407407405; ""star_packaging"": 4.643518518518518; ""star_texture"": 4.7407407407407405; ""star_value_for_money"": 4.550925925925926",206,45,13,158,1903,475500
Skin,SKIN1004 Madagascar Centella Ampoule,33592,140,Rp 267.000 - Rp 714.000,"""100 ml"": 714000; ""55 ml"": 408000; ""30 ml"": 267000",https://www.sociolla.com/skincare/34636-madagascar-centella-ampoule,2022-05-25T03:56:29.886Z,Ampoule,Skincare; Treatment; Ampoule,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.66005504213429,2995,"""star_effectiveness"": 4.653472222222222; ""star_packaging"": 4.790350572717807; ""star_texture"": 4.820833333333334; ""star_value_for_money"": 4.375564040263797",2771,416,152,2313,13463,490500
Skin,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 1ea,73228,0,Rp 36.000,"""Non Specify"": 36000",https://www.sociolla.com/sheet-mask/26408-madagascar-centella-watergel-sheet-ampoule-mask,2022-05-25T03:50:51.887Z,Sheet Mask,Skincare; Face Mask; Sheet Mask,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.7388059701492535,134,"""star_effectiveness"": 4.7388059701492535; ""star_packaging"": 4.895522388059701; ""star_texture"": 4.835820895522388; ""star_value_for_money"": 4.485074626865671",129,14,7,113,1360,36000
Skin,SKIN1004 Madagascar Centella Soothing Cream,73519,100,Rp 247.000 - Rp 510.000,"""75 mil"": 510000; ""30 ml"": 247000",https://www.sociolla.com/face-cream-lotion/26699-madagascar-centella-soothing-cream,2022-05-25T03:27:22.331Z,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.693083573487032,694,"""star_effectiveness"": 4.61671469740634; ""star_packaging"": 4.780979827089337; ""star_texture"": 4.828530259365994; ""star_value_for_money"": 4.546109510086455",666,134,39,521,4692,378500
Skin,SKIN1004 Madagascar Centella Toning Toner,63288,180,Rp 247.000 - Rp 918.000,"""210 ml"": 578000; ""400 ml"": 918000; ""30 ml"": 247000",https://www.sociolla.com/toner/43308-madagascar-centella-toning-toner,2022-05-25T03:31:40.491Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.707708333333334,1200,"""star_effectiveness"": 4.7075; ""star_packaging"": 4.8025; ""star_texture"": 4.859166666666667; ""star_value_for_money"": 4.461666666666667",1172,164,52,984,9517,582500
Skin,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum,101646,120,Rp 220.000 - Rp 648.000,"""50ml"": 360000; ""15ml"": 220000",https://www.sociolla.com/default-category/73304-madagascar-centella-hyalu-cica-water-fit-sun-serum-50ml,2023-01-24T10:24:10.057Z,Sunscreen,Skincare; Sun Care; Sunscreen,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.801310043668122,228,"""star_effectiveness"": 4.794759825327511; ""star_packaging"": 4.868995633187773; ""star_texture"": 4.890829694323144; ""star_value_for_money"": 4.650655021834061",226,33,4,192,2443,434000
Skin,SKIN1004 Madagascar Centella Poremizing Clear Toner,98625,110,Rp 578.000,"""210 ml"": 578000",https://www.sociolla.com/treatment/70283-madagascar-centella-poremizing-clear-toner,2022-10-25T10:33:36.653Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.74812030075188,131,"""star_effectiveness"": 4.601503759398496; ""star_packaging"": 4.879699248120301; ""star_texture"": 4.849624060150376; ""star_value_for_money"": 4.661654135338346",128,25,6,102,1314,578000
Skin,SKIN1004 Madagascar Centella Air-Fit Suncream Light,101642,70,Rp 380.000,"""50ml"": 380000",https://www.sociolla.com/sunscreen/73300-madagascar-centella-air-fit-suncream-light-50ml,2023-01-24T10:21:32.826Z,Sunscreen,Skincare; Sun Care; Sunscreen,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.67548076923077,104,"""star_effectiveness"": 4.634615384615385; ""star_packaging"": 4.875; ""star_texture"": 4.6826923076923075; ""star_value_for_money"": 4.509615384615385",97,24,9,71,1022,380000
Skin,SKIN1004 Madagascar Centella Hyalu-Cica Brightening Toner,95060,120,Rp 237.000 - Rp 646.000,"""210ml "": 646000; ""30ml"": 237000",https://www.sociolla.com/toner/66718-madagascar-centella-hyalu-cica-brightening-toner,2022-05-12T07:23:40.303Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.720505617977528,178,"""star_effectiveness"": 4.662921348314606; ""star_packaging"": 4.775280898876405; ""star_texture"": 4.797752808988764; ""star_value_for_money"": 4.646067415730337",174,34,7,137,1243,441500
Skin,SKIN1004 Madagascar Centella Tone Brightening Capsule Cream,98629,90,Rp 450.000,"""75 ml"": 450000",https://www.sociolla.com/acne-treatment-sealing-gel-cream/70287-madagascar-centella-tone-brightening-capsule-cream,2022-11-07T06:33:45.878Z,Acne Treatment  Sealing Gel  C,Skincare; Treatment; Acne Treatment / Sealing gel / Cream,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.738095238095238,147,"""star_effectiveness"": 4.659863945578231; ""star_packaging"": 4.816326530612245; ""star_texture"": 4.802721088435374; ""star_value_for_money"": 4.673469387755102",143,29,5,113,1332,450000
